"","PDC016_MTG_P3WH10_001","PDC016_SSC_P4WA1_001","PDC026_MTG_P4WA3_001","PDC026_SSC_P4WA4_001","A019s12_MTG_P2WD10_001","A019s12_SSC_P2WE1_001","A319s11_MTG_P3WE2_001","A319s11_SSC_P3WE3_001","DPM13s19_MTG_P3WF9_001","DPM13s19_SSC_P3WF10_001","20130400_MTG_P1WH9_001","20130400_SSC_P1WH10_001","A048s13_MTG_P2WE9_001","A048s13_SSC_P2WE10_001","A064s13_MTG_P2WF8_001","A064s13_SSC_P2WF9_001","A301s10_MTG_P3WD9_001","A301s10_SSC_P3WD10_001","A127s11_MTG_P2WH3_001","A127s11_SSC_P2WH4_001","A053s11_MTG_P2WF5_001","A053s11_SSC_P2WF6_001","DPM13s42_MTG_P3WG2_001","DPM13s42_SSC_P3WG3_001","20131157_MTG_P2WA3_001","20131157_SSC_P2WA4_001","A051s14_MTG_P2WF2_001","A051s14_SSC_P2WF3_001","A096s14_MTG_P2WG7_001","A096s14_SSC_P2WG8_001","20141901_MTG_P2WA6_001","20141901_SSC_P2WA7_001","BC454s945_MTG_P3WF6_001","BC454s945_SSC_P3WF7_001","A282s14_MTG_P3WD4_001","A282s14_SSC_P3WD5_001","A402s14_MTG_P3WF1_001","A402s14_SSC_P3WF2_001","19920001_MTG_P1WA10_001","19920001_SSC_P1WB1_001","20050033_MTG_P1WF1_001","20050033_SSC_P1WF2_001","A248s10_MTG_P3WC2_001","A248s10_SSC_P3WC3_001","A153s12_MTG_P2WH8_001","A153s12_SSC_P2WH9_001","20050102_MTG_P1WF4_001","20050102_SSC_P1WF5_001","20030099_MTG_P1WE8_001","20030099_SSC_P1WE9_001","20060093_MTG_P1WF7_001","20060093_SSC_P1WF8_001","20060099_MTG_P1WF10_001","20060099_SSC_P1WG1_001","20110272_MTG_P1WG7_001","20110272_SSC_P1WG8_001","20110476_MTG_P1WG10_001","20110476_SSC_P1WH1_001","A187s96a_MTG_P3WB4_001","A187s96a_SSC_P3WB5_001","A013s03_MTG_P2WD7_001","A013s03_SSC_P2WD8_001","A029s04_MTG_P2WE6_001","A029s04_SSC_P2WE7_001","A166s04_MTG_P3WA7_001","A166s04_SSC_P3WA8_001","A074s05a_MTG_P2WG4_001","A074s05a_SSC_P2WG5_001","A210s05a_MTG_P3WB7_001","A210s05a_SSC_P3WB8_001","A329s10_MTG_P3WE5_001","A329s10_SSC_P3WE6_001","A253s12_MTG_P3WC4_001","A253s12_SSC_P3WC6_001","A277s12_MTG_P3WD1_001","A277s12_SSC_P3WD2_001","A272s15_MTG_P3WC8_001","A272s15_SSC_P3WC9_001","A354s16_MTG_P3WE8_001","A354s16_SSC_P3WE9_001","A115s17_MTG_P2WG10_001","A115s17_SSC_P2WH1_001","A163s17_MTG_P3WA4_001","A163s17_SSC_P3WA5_001","19950136_MTG_P1WD4_001","19950136_SSC_P1WD5_001","19960052_MTG_P1WD7_001","19960052_SSC_P1WD8_001","20150975_MTG_P2WB2_001","20150975_SSC_P2WB3_001","20152915_MTG_P2WB5_001","20152915_SSC_P2WB6_001","20174902_MTG_P2WB8_001","20174902_SSC_P2WB9_001","19891053_MTG_P1WA2_001","19891053_SSC_P1WA3_001","19920194_MTG_P1WB8_001","19920194_SSC_P1WB9_001","19920200_MTG_P1WC1_001","19920200_SSC_P1WC2_001","19950030_MTG_P1WD1_001","19950030_SSC_P1WD2_001","19980098_MTG_P1WE3_001","19980098_SSC_P1WE4_001","20185945_MTG_P2WC6_001","20185945_SSC_P2WC7_001","DPM16s44_MTG_P3WG5_001","DPM16s44_SSC_P3WG6_001","20196919_MTG_P2WD1_001","20196919_SSC_P2WD2_001","20196928_MTG_P2WD4_001","20196928_SSC_P2WD5_001"
"HMGB1",66.0081,186.01,128.472,117.266,128.68,135.827,133.135,144.677,156.426,84.8068,121.439,95.0801,146.579,94.0267,138.87,81.3175,218.403,95.5187,112.658,125.55,92.8711,125.526,128.126,156.558,145.127,144.175,92.3061,105.66,121.159,113.807,142.832,151.827,75.8261,115.266,132.998,142.648,130.556,126.002,159.661,152.3,124.803,126.611,90.3475,64.7872,140.539,132.307,88.7706,89.4501,93.2549,43.6151,125.019,125.311,70.7315,103.634,90.4819,104.012,102.81,78.4102,148.215,142.73,98.9587,91.6348,138.526,110.684,137.828,105.746,119.009,93.1287,99.8529,83.7966,120.967,150.776,89.2546,105.81,119.865,135.168,87.5621,117.487,85.1542,102.12,138.804,124.822,146.87,178.764,99.0223,88.4242,89.826,88.7738,116.664,101.726,108.866,136.203,136.636,96.6582,127.311,114.616,134.923,115.98,146.938,89.1651,175.568,102.826,126.886,77.137,136.898,144.653,127.666,106.329,189.505,91.254,48.1612,81.9738
"RBP1",NA,23.2909,24.6206,40.7091,25.1902,7.60058,36.6538,44.9484,21.8037,25.8186,5.74417,29.7964,32.2729,NA,NA,19.3008,13.8864,14.0238,9.18506,15.2652,NA,21.6217,18.2572,23.7859,15.0477,27.5979,NA,11.2163,15.6235,17.8989,25.8197,15.8548,NA,16.1868,15.3114,17.5735,10.1148,11.9261,27.2521,15.0867,NA,19.9713,18.4653,23.8228,22.593,30.1991,39.1891,12.3665,9.7571,59.4058,13.3731,NA,NA,13.7949,14.9216,30.8832,19.3534,38.1797,53.8472,55.6293,30.7124,33.9063,28.7367,15.3014,48.8287,62.0252,20.1922,25.5506,21.8204,11.3349,15.9957,34.6337,33.0322,27.7723,31.709,22.5793,13.6525,40.3945,45.2338,40.834,14.4027,18.8884,24.1866,NA,20.0107,18.2295,31.5904,45.3529,22.6063,NA,15.5744,12.0206,28.5328,32.9595,17.8556,34.8097,NA,NA,18.4306,25.8909,14.7037,NA,12.5643,11.6811,15.2299,NA,10.8096,15.7323,21.7607,17.1573,9.84618,35.5479
"GNAO1",2437.71,1590.7,1637.47,2153.21,2620.51,2459.55,3310.52,2334.07,2412.42,2790.97,1638.59,2242.9,3406.23,2125.5,3451.05,2033.57,2756.27,1843.77,2879.79,2295.08,2531.97,3078.87,2634.03,2704.51,3056.41,2260.85,2695.77,2882.34,2760.11,2130.56,3336.04,2036.07,2784.83,2258.12,2520.89,2455.89,2534.55,2575.64,2533.58,2609.89,3150.39,1968.4,3583.97,2428.43,2349.1,2977.83,1749.26,2300.29,3322.12,2101.36,2257.98,2385.93,2995.43,1762.05,2130.95,2052.48,2286.12,1555.84,2929.32,1393.88,2762.98,1083.36,2580.71,1579.91,2714.03,1759.3,3132.25,2789.54,5793.08,2312.12,2263.27,2285.19,4297.39,2966.12,2555.84,1701.54,3270.71,2145.36,2324.08,1572.41,2128.48,3148.63,2146.24,1954.59,2303.36,1692.68,3231.36,1867.17,2752.2,1757.65,3106,1894.86,2360.74,2156.73,3131.79,2421.84,2168.56,1696.01,2418.48,2108.82,2470.15,1757.97,3940.98,1429.83,2238.25,2028.86,2637.63,1843.71,3499.16,2178.59,2755.16,2122.1
"GSTM1",174.705,316.129,NA,NA,79.5768,71.6246,NA,NA,NA,NA,76.3807,83.123,116.022,66.3204,NA,NA,301.571,116.687,NA,NA,98.9793,98.7683,NA,NA,160.629,82.4285,NA,NA,109.698,68.0989,NA,NA,NA,NA,88.5,67.3478,14.5717,NA,128.828,135.785,230.356,118.434,105.177,88.3271,NA,NA,NA,NA,NA,NA,163.013,109.091,NA,49.0529,65.0549,44.7022,120.298,79.6798,99.4369,68.3595,79.7066,43.0698,137.138,103.189,83.0559,118.062,158.097,93.8272,NA,NA,NA,NA,134.196,89.9667,NA,NA,160.516,76.355,90.2172,82.011,NA,NA,NA,NA,NA,NA,130.297,86.1619,NA,NA,214.566,153.668,147.874,73.1253,107.794,88.5672,NA,NA,98.557,60.8942,NA,NA,116.338,75.1027,86.2541,80.4377,NA,NA,NA,60.7768,175.068,121.452
"TPM1",105.002,793.812,552.926,205.3,396.727,411.196,623.193,598.208,507.02,276.666,430.868,227.866,300.909,249.696,177.174,116.219,300.256,215.324,294.174,343.963,228.326,323.307,264.976,424.917,311.41,342.613,220.07,234.966,539.385,183.772,568.793,384.107,320.931,293.272,322.133,471.705,378.736,326.842,480.264,643.881,360.257,328.986,240.919,194.736,289.904,192.392,256.617,246.614,582.117,316.463,636.824,401.226,187.912,382.605,171.411,522.219,506.398,282.034,451.681,606.068,271.655,233.161,744.171,388.159,312.234,472.127,358.919,509.299,476.604,272.838,447.892,498.139,321.248,318.283,369.745,217.756,277.768,215.099,305.904,490.613,2604.12,431.618,298.306,662.874,219.9,162.761,541.453,319.311,338.289,205.414,1352.08,519.655,390.592,611.819,350.662,418.002,198.566,269.004,392.792,244.026,234.774,268.062,495.19,265.443,259.642,595.85,612.919,534.051,569.86,381.258,338.126,406.501
"CLTA",211.165,208.08,196.632,153.958,216.628,231.056,360.299,345.208,295.495,180.527,296.141,187.628,213.948,111.865,258.968,230.449,198.387,210.336,274.095,283.418,206.015,272.755,196.537,262.901,268.082,293.822,246.555,258.91,263.071,162.58,340.824,217.015,227.933,220.826,312.199,330.4,318.34,276.938,270.871,158.243,213.19,229.436,212.388,164.687,230.507,140.285,150.122,184.282,391.164,278.681,352.225,237.298,292.345,256.442,228.103,283.261,386.164,230.84,263.396,238.65,199.227,118.676,316.817,212.861,206.395,251.621,211.896,290.394,274.291,265.126,319.421,353.627,251.776,322.77,283.203,233.124,185.816,189.285,200.932,321.355,212.088,308.476,301.362,228.209,252.094,205.931,250.714,236.604,212.31,213.887,259.256,283.198,215.195,373.055,298.127,312.235,258.614,232.084,313.76,230.142,186.036,167.229,358.59,216.254,216.697,236.401,368.971,167.37,161.135,287.276,219.548,285.52
"CLTB",129.516,120.384,122.355,117.916,151.067,131.72,229.235,214.671,165.721,94.2158,201.629,121.657,117.951,72.9086,167.055,130.678,131.488,131.029,162.467,165.473,112.054,165.967,105.33,159.997,172.187,189.171,148.129,138.412,154.264,86.8586,241.957,157.917,112.645,120.16,183.469,200.991,202.167,150.509,201.77,95.0778,136.37,133.991,109.853,85.715,130.152,77.1539,124.007,117.776,276.166,160.19,197.781,182.961,185.731,155.295,149.676,172.777,211.814,121.678,150.087,129.174,103.39,97.8622,238.153,144.914,107.599,152.354,113.48,175.949,160.625,150.747,185.602,202.786,139.443,183.838,192.824,134.453,126.287,126.88,105.948,162.929,120.843,170.4,160.328,130.565,165.577,118.706,155.074,142.291,147.838,140.208,166.311,155.504,132.165,208.249,193.368,181.696,162.699,154.069,176.586,152.316,114.979,113.794,237.425,149.492,135.861,138.054,227.596,114.885,128.402,184.232,146.39,160.019
"ANXA4",79.2858,109.481,87.4288,78.3004,76.6229,103.539,72.6431,87.0224,121.711,96.579,77.2883,98.8733,94.6123,142.087,88.8172,94.5313,146.449,94.7623,68.7531,71.0437,89.3345,91.8081,74.4736,81.5336,106.44,92.6437,78.2189,80.9848,92.4076,98.9544,76.4853,92.1976,78.2002,86.4535,74.7697,66.2751,111.019,54.5985,87.0031,280.497,123.478,116.369,83.3705,82.3546,66.1949,97.6093,74.8083,82.1992,77.444,77.18,74.5353,92.0023,63.3593,115.065,73.1921,95.397,79.7036,81.3739,107.215,91.0848,112.068,68.6254,69.8604,83.0356,89.5132,107.652,107.946,110.872,99.5248,88.3972,76.7038,76.9334,86.3349,70.6543,140.872,96.5982,100.576,98.9681,60.3698,116.155,261.503,85.4304,75.431,206.262,73.91,104.15,149.565,99.0456,75.2711,74.2749,198.267,117.872,121.83,104.706,98.8247,71.8032,74.9668,68.3034,78.6993,61.5248,98.5393,85.7577,85.9954,84.3424,101.242,203.276,76.6431,98.3948,141.707,88.5845,78.0468,91.1893
"CNP",1240.13,5152.2,4830.83,7913.13,7200.27,8127.97,6713.2,9862.08,3100.59,3975.06,1816.25,10965.8,6860.32,9201.24,5270.29,7161.87,2951.79,7622.81,6099.79,8050.82,5464.87,5437.83,7738.66,6549.79,2633.77,7589.26,5737.66,5441.16,5042.21,16088.6,2387.66,5113.59,2697.35,5446.6,8703.06,5674.04,2840.28,5808.8,3661.46,1467.55,1514.09,7852.37,4999.42,4921.25,5471.55,7618.03,8365.2,7894.72,1413.88,4248.12,3074.78,3322.15,2623.69,7313.09,3849.27,8454.7,2587.68,6579.32,8688.17,14126,3921.12,4973.15,3792.25,4871.34,9428.66,8659.31,8290.67,4374.47,5026.6,6502.73,3439.52,7492.45,4311.85,6978.09,2932.78,7239.36,2267.39,5551.17,8369.85,3988.43,6903.42,6487.3,7826.9,7265.23,4279.51,10149,3937.66,6877.8,3342.37,6960.62,2984.25,4379.07,3906.23,5321.42,7628.84,5166.38,2912.4,5582.24,9038.38,8575.07,7082.04,7460.44,2802.35,5394.74,6411.78,4264.89,3977.71,8059.63,1884.15,4095.7,3369.71,6707.12
"DLD",581.315,578.709,563.926,582.594,555.073,525.23,499.725,613.854,505.463,570.721,694.469,587.3,405.02,456.305,495.104,673.757,375.404,566.898,536.776,579.436,548.614,553.44,434.057,433.203,496.969,620.677,529.853,633.423,480.664,379.296,586.416,612.062,566.226,643.59,624.015,636.133,685.021,565.779,423.975,445.304,463.011,658.586,490.116,604.086,526.448,432.904,503.191,562.091,508.476,676.155,589.828,697.57,572.597,701.441,585.61,616.973,647.597,683.243,461.678,324.268,486.162,357.674,555.899,576.574,380.51,480.296,398.274,530.307,397.302,740.819,608.441,583.648,459.48,560.42,562.054,687.493,336.688,646.602,450.601,747.297,429.326,542.426,578.499,619.867,562.94,691.943,437.562,602.019,610.061,666.026,506.349,642.086,436.507,601.089,508.396,754.345,532.607,766.828,478.407,598.265,431.348,621.355,596.065,718.635,532.991,574.735,539.386,605.467,336.426,669.361,511.159,615.88
"HNRNPA1",485.248,515.891,567.813,581.248,476.644,470.961,479.346,429.328,620.106,546.426,494.73,464.137,598.564,397.524,535.85,472.551,767.354,514.546,542.653,578.319,594.164,510.609,508.121,450.935,581.745,591.46,579.591,530.949,516.379,597.822,481.606,589.411,507.292,561.19,566.194,501.259,560.988,552.08,531.496,559.401,407.601,514.05,498.588,557.336,577.41,593.517,504.362,458.711,489.745,395.08,446.393,534.103,496.876,534.717,606.565,498.138,574.053,520.198,569.048,390.89,671.632,400.725,481.768,469.934,541.311,589.029,572.576,518.93,514.087,485.633,471.501,455.274,464.765,580.37,562.375,586.038,548.186,629.628,572.047,631.434,584.142,513.051,513.658,525.054,519.359,512.92,569.181,498.666,491.248,539.499,478.69,485.613,581.58,490.773,476.033,470.162,524.351,533.532,555.804,515.708,552.648,438.961,460.896,537.351,578.916,546.698,441.519,501.981,498.847,451.486,477.383,535.045
"SNRPA1",11.8798,24.0377,22.6339,17.7246,22.4966,23.2926,14.9327,21.103,41.1402,18.449,5.94732,13.2533,19.1513,NA,21.8634,12.7333,22.4108,NA,16.4769,23.517,13.814,19.4585,14.2774,15.8532,NA,16.1475,13.0176,14.3254,21.2713,11.9378,7.0964,16.3272,12.5034,17.2062,16.36,12.3112,11.0755,13.6923,18.4479,17.8679,18.0571,16.791,14.2504,24.8338,23.5414,17.0517,9.46662,14.5719,12.366,14.9951,11.3129,11.1506,16.847,30.3968,12.4339,12.3058,16.9782,16.4264,15.4796,9.36915,28.4538,NA,22.0809,17.8151,5.38475,13.9032,24.3364,12.7696,12.1766,14.5656,28.4115,NA,26.4074,13.8619,23.7539,19.469,25.8241,12.5213,17.4826,15.1587,28.2883,17.1267,15.5473,22.7175,11.4002,26.1907,17.3082,19.6327,14.6014,10.4613,25.6821,22.3356,16.3562,18.3785,NA,15.116,15.5784,31.4873,13.6933,14.8536,16.899,13.6201,21.3039,NA,17.0071,18.8259,17.0272,11.03,23.811,17.2651,19.6721,26.5908
"COX6C",1327.09,1120.79,853.534,1189.49,926.659,1061.99,457.088,513.711,551.767,1147.4,1106.56,698.174,706.406,1213.06,934.404,1353.47,821.134,1391.9,653.1,431.605,761.52,788.232,879.662,739.155,750.63,489.659,842.164,1055.41,841.75,1031.44,643.872,1377.36,985.078,983.949,891.228,790.652,362.765,590.646,579.901,809.724,902.849,1130.96,948.609,1558.86,953.148,1006.45,1155.48,1449.34,408.114,1132.76,990.612,1417.69,902.846,1217.68,1131.76,1034.93,705.491,1250.78,539.891,345.79,748.667,1260.28,940.015,1092.13,675.656,655.717,597.655,859.514,1095.09,1250.7,1146.27,777.986,764.087,637.88,755.98,1221.09,620.114,1329.01,851.973,789.464,772.353,562.459,876.774,1024.65,975.493,1323.46,483.954,1025.18,758.497,1065.43,712.83,1005.77,898.295,609.58,669.285,1183.57,1098.74,768.363,586.935,1221.84,841.371,1720.09,856.878,1158.65,985.176,673.611,894.038,1485.65,686.353,762.96,941.478,1091.63
"PARP1",47.9998,83.6017,87.015,82.3134,75.1247,93.4679,64,68.7402,70.8614,58.4036,53.045,76.9244,76.3402,74.3162,79.2846,73.6697,89.5769,75.7425,74.2592,76.6106,70.0729,60.4708,84.8905,79.2971,72.6677,82.9093,77.0749,73.2319,75.0976,106.246,65.3678,91.6258,55.4852,71.5582,84.7381,70.5186,72.1007,67.8794,75.7175,92.2045,62.8885,85.8894,57.8725,55.5932,69.7933,77.1432,71.5996,57.2312,47.5844,43.0451,65.796,69.0134,53.8218,75.3194,63.537,76.7594,59.0531,77.4518,85.5999,86.8288,84.6101,80.0116,72.4638,79.1229,99.2772,95.3167,92.4786,62.8632,67.8465,59.9429,52.9893,72.2432,72.3351,67.4238,80.7949,82.8396,71.5523,79.804,87.5227,73.4656,79.2644,74.0409,74.1939,80.4886,70.5407,88.3753,84.7875,71.207,65.078,76.2444,59.1206,71.1832,86.2421,72.2379,86.3501,61.3241,66.1266,63.5156,80.5949,70.6476,86.4564,63.007,61.3908,71.0246,94.5866,85.0502,55.8575,72.8599,87.5153,52.5371,59.5865,69.2909
"IFIT1",NA,NA,17.9235,15.4215,NA,8.2115,12.5537,15.1944,NA,NA,NA,NA,28.5776,NA,10.4571,19.6292,22.178,18.0411,NA,NA,NA,NA,20.0346,NA,15.8377,17.9046,NA,NA,6.95369,NA,NA,16.5417,58.3447,60.5889,NA,NA,NA,NA,7.01789,NA,20.2793,NA,21.3541,17.1645,38.5572,47.218,NA,21.0924,9.23454,18.8576,17.4723,16.5177,9.31434,15.7538,12.8546,16.9214,9.678,NA,NA,NA,17.2622,NA,12.9163,19.9346,NA,NA,31.9691,18.8503,22.9871,26.7482,NA,NA,17.5991,15.6694,NA,16.902,NA,14.897,NA,NA,14.9461,NA,NA,17.4367,NA,NA,21.3135,20.5569,NA,11.1309,20.8525,18.4993,11.7383,NA,43.2685,44.0588,NA,9.70549,16.6342,NA,13.8493,9.78156,4.38024,NA,14.5419,16.9929,NA,NA,20.0917,NA,8.28159,10.9505
"UCHL1",3820.95,2814.77,4231.05,3040.52,4502.8,3903.6,3522.38,3938.57,3494.85,2911.09,4650.95,4007.32,3756.68,3378.33,3745.7,3258.06,3852.5,3613.97,4303.64,4645.89,4444.92,3880.5,4728.91,4032.67,3645.22,3169.56,3668.17,3506.15,4015.24,4329.72,3299.4,3052.52,3754.29,4181.29,4050.38,3032.21,3472.76,3603.73,4030.54,3015.03,3846.48,3463.2,4439.62,3507.39,4079.2,4412.55,3862.23,3657.38,3886.43,3949.06,3700.23,2686.62,3832.8,3674.92,3922.66,3649.14,4240.3,4528.52,4098.31,5463.58,4430.02,3421.43,3458.93,2642.18,3941.95,3048.84,3970.12,3172.2,3034.41,3471.83,3485.4,3998.63,4025.62,4027.11,4563.35,3375.52,4131.58,3424.53,5654.64,3755.92,3886.51,4551.24,3774.91,3057.81,4967.12,3853.93,3976.66,3418.65,3272.69,3309.1,3522.56,3260.78,4301.55,3516.08,4830.89,3425.08,4029.28,3213.36,4398.52,3188.46,4184.25,3793.82,3713.71,4155.9,3934.14,3788.15,3901.41,3663.28,2387.69,3602.34,4272.05,3875.75
"LTA4H",43.1265,67.5367,50.532,59.4975,62.1994,59.5709,51.7074,54.3798,65.147,45.6908,39.7429,54.3571,68.275,NA,65.6527,66.6742,60.9376,46.1469,55.5089,51.9364,59.1366,53.7819,57.5604,64.0468,45.4938,44.3215,57.7071,51.5242,63.4417,53.9339,38.0165,61.5215,51.2082,51.0546,51.9317,48.3935,53.1858,49.3949,63.0112,74.4452,54.5663,60.9886,61.408,61.7251,61.0232,57.2503,44.2992,41.745,44.966,49.9127,60.8366,49.8993,53.5269,56.8692,54.681,54.6284,58.7976,57.2834,60.5271,60.4245,71.2622,45.284,55.2665,54.0112,71.0495,67.3701,69.9909,57.3506,61.7282,46.3417,64.9873,56.6262,67.3534,53.4818,53.0639,60.293,65.0388,62.3149,57.9592,47.5111,60.7473,52.4167,51.4028,65.7115,54.7294,57.5904,75.3979,69.9956,44.6394,42.2959,54.6381,50.948,65.1074,45.43,54.9667,57.9822,69.9597,44.8277,56.0093,60.8363,65.0728,49.4233,53.3271,52.7239,53.6003,57.4854,41.8102,45.1882,66.7163,45.1718,51.5663,60.7306
"ALDOC",2212.02,2560.4,2182.21,1603.33,2109.11,1641.45,2032.05,3287.55,2097.24,2181.43,3109.95,2024.77,1592.03,2079.5,1852.97,2263.79,1645.72,2556.91,2033.6,2810.89,2063.95,1910.04,2299.39,2239.17,1552.52,2100.59,2217.42,2394.14,1846.48,2271.55,1829.53,2136.95,2096.39,2630.79,2465.81,2074.25,2299.52,2161.1,1991.34,1630.67,1595.19,2399.79,2253.51,2801.66,2432.34,1777.55,2234.32,2802.66,1408.92,2347.21,2336.04,2421.17,2047.46,2298.64,1935.48,2512.29,2124.18,3070.19,2090.42,2770.63,1776.66,2192.83,2102.97,1951.98,1811.51,2182.6,1806.04,2140.45,1743.08,2929.97,2671.99,2977.65,1648.37,2089.19,2270.22,2394.83,1519.68,2529.43,2289.92,3083.68,1832.27,2493.04,2014.29,2083.4,2504.36,2154.93,1578.35,2532.92,1299.54,1832.74,1604,2018.35,2274.33,2699.53,1702.27,2691.14,2159.73,2576.94,2143.43,2336.43,1923.68,2881.58,2052.27,3562.6,1915.32,2354.57,2796.07,3169.76,1647.52,2276.34,2045.17,2558.02
"C4A",49.5936,94.49,81.7757,70.2349,71.793,80.8961,108.815,77.5472,99.5815,80.9494,43.6526,50.7164,106.465,NA,65.7005,56.6316,124.152,65.5728,59.3951,68.0611,52.4937,57.978,66.8683,70.1203,80.6691,79.6024,70.4338,59.1156,63.2023,67.2626,49.4416,74.885,59.0859,78.9094,37.9722,47.0533,69.9442,50.9349,54.4611,95.0972,99.614,65.1092,45.4297,51.5389,87.7074,101.523,39.4081,36.1088,47.72,38.3639,60.1043,83.6588,40.8332,47.0406,44.9711,57.3148,48.9588,50.9861,111.872,136.349,113.919,74.9935,28.0789,44.5795,128.019,106.886,116.937,79.555,84.7201,59.3952,53.3246,81.4636,95.0803,73.1427,82.9092,65.9808,103.117,81.5342,57.318,31.4594,87.7653,40.0109,49.3115,108.767,55.8499,74.473,128.521,95.7914,89.321,68.7048,96.6217,75.9547,139.09,106.032,84.3143,57.7122,59.5156,35.1298,64.5047,45.8257,79.2605,49.3123,47.418,53.0222,45.655,95.6307,56.5639,68.5465,127.17,99.7272,53.8279,73.3981
"C4B_2",18.0456,NA,46.9794,40.3158,NA,NA,NA,37.6817,46.6661,55.5616,NA,NA,61.2501,NA,NA,NA,32.8174,NA,20.2879,35.5032,NA,NA,29.8927,35.2156,25.4212,NA,27.6308,NA,NA,NA,15.8728,23.0591,22.6685,35.2287,NA,NA,NA,NA,25.3889,21.7075,53.4283,NA,33.9407,NA,30.8067,59.7457,NA,23.3909,38.9434,NA,NA,35.357,NA,45.7407,NA,NA,NA,NA,47.1413,49.2583,114.028,48.6634,NA,NA,19.1733,70.2632,45.285,34.3454,40.9701,NA,NA,21.5917,NA,NA,34.8219,NA,36.1596,NA,NA,58.0252,56.1552,32.3855,NA,28.4435,NA,NA,72.8805,47.1689,NA,NA,28.8222,30.4017,46.4394,56.8897,22.2845,19.7727,33.9417,NA,NA,13.2927,26.0839,28.6905,NA,NA,NA,93.0951,NA,NA,54.0711,46.3388,NA,NA
"H2AZ1;H2AZ2",86.5368,123.353,169.283,99.1758,165.403,170.486,113.736,107.746,171.162,137.761,110.069,104.803,198.364,196.219,163.218,138.88,292.124,124.109,103.836,120.767,105.049,90.5422,149.148,137.234,111.841,125.188,134.133,112.529,127.601,200.717,90.5949,143.077,85.8158,129.151,153.26,129.571,117.864,125.206,171.381,198.291,138.526,132.924,101.259,96.9907,152.813,173.598,139.235,114.695,82.5559,73.1982,107.583,149.998,102.224,144.986,110.247,125.357,96.4394,91.5457,179.809,193.511,130.952,148.481,119.742,116.598,253.845,209.944,209.331,104.445,168.615,124.701,105.52,131.262,109.618,136.373,177.074,140.357,168.158,130.508,178.931,167.033,195.335,97.3182,140.086,191.597,149.027,141.743,163.426,113.981,115.027,133.573,151.535,108.799,207.117,115.876,159.999,115.745,124.15,96.6532,158.956,88.3063,189.151,127.387,92.007,98.7531,165.075,157.628,78.7826,107.456,172.707,96.03,122.096,128.492
"H2AC12;H2AC14;H2AC17;H2AC19;H2AC20;H2AC7;H2AJ",5792.15,6066.38,9516.39,5395.53,7642.29,8680.76,4821.78,4320.91,6926.68,7409.53,9268.14,4619.33,7733.05,5550.97,7423.95,6623.84,17023.7,8372.95,4977.19,7493.03,5534.44,5649.85,7389.72,5789.2,5762.88,4216.51,5036.07,6180.53,6904.81,11304.6,4459.4,9565.84,3257.83,7131.8,8055.89,5754.6,8366.9,6631.51,7176.67,13871.2,7739.16,6627.41,5975.78,8491.4,7166.84,9752.88,10047.8,6213.11,3724.11,3121.19,4270.3,7240.21,4054.19,6472.12,5811.15,6391.34,3659.53,6758.86,9259.91,7788.58,8369.52,6979.41,5157.57,5019.44,13952.5,12021.2,10945.4,6086.9,8714.42,5746.94,5353.81,5971.39,5253.01,5908.7,9655.53,7575.4,7762.21,5664.24,9374.7,7660.99,11091,5936.46,6705.77,10059.7,8899.41,8045.46,7202.01,5305.95,5437.59,7442.21,7403.84,4899.33,11689.5,4773.17,8327.77,5440.69,6627.39,5726.22,9238.76,4444.57,10088.7,8414.87,5042.31,8947.58,8134.92,10426.6,5372.62,7979.93,8391.35,3859.46,5741.47,5397.35
"UQCRFS1P1",NA,166.416,NA,277.199,NA,NA,135.872,NA,NA,235.987,162.583,NA,NA,NA,NA,NA,NA,NA,NA,188.128,188.475,NA,NA,NA,246.44,NA,NA,NA,NA,197.953,NA,217.663,180.402,NA,NA,NA,NA,NA,NA,NA,229.676,278.633,NA,304.726,226.357,135.355,NA,NA,NA,NA,285.151,NA,215.687,338.361,NA,NA,285.866,NA,185.377,NA,211.792,66.7521,190.155,168.684,NA,NA,180.112,NA,NA,374.597,NA,NA,230.082,258.931,NA,NA,NA,302.174,NA,NA,162.393,NA,NA,280.874,NA,NA,197.205,246.703,213.842,NA,168.857,283.558,185.825,NA,150.774,NA,231.041,NA,NA,NA,NA,NA,243.339,NA,198.594,138.658,220.752,NA,149.865,199.031,220.325,NA
